window_index,window_start,window_end,window_status,selection_reason,selected_lead,selected_alias,selected_quality_label,selected_quality_score,v5_lead,v5_quality_label,v5_quality_score,v1_lead,v1_quality_label,v1_quality_score,v5_peak_count,v1_peak_count,selected_peak_count,discarded_peak_count
180,2022-12-12 16:19:13,2022-12-12 16:19:28,valid,tie_prefer_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Excellent,2,23,23,23,23
181,2022-12-12 16:19:28,2022-12-12 16:19:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
182,2022-12-12 16:19:43,2022-12-12 16:19:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
183,2022-12-12 16:19:58,2022-12-12 16:20:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,18,18,18,18
184,2022-12-12 16:20:13,2022-12-12 16:20:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,18,18,18,18
185,2022-12-12 16:20:28,2022-12-12 16:20:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
186,2022-12-12 16:20:43,2022-12-12 16:20:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
187,2022-12-12 16:20:58,2022-12-12 16:21:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
188,2022-12-12 16:21:13,2022-12-12 16:21:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
189,2022-12-12 16:21:28,2022-12-12 16:21:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
190,2022-12-12 16:21:43,2022-12-12 16:21:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
191,2022-12-12 16:21:58,2022-12-12 16:22:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,22,22,22,22
192,2022-12-12 16:22:13,2022-12-12 16:22:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
193,2022-12-12 16:22:28,2022-12-12 16:22:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
194,2022-12-12 16:22:43,2022-12-12 16:22:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
195,2022-12-12 16:22:58,2022-12-12 16:23:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
196,2022-12-12 16:23:13,2022-12-12 16:23:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
197,2022-12-12 16:23:28,2022-12-12 16:23:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
198,2022-12-12 16:23:43,2022-12-12 16:23:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
199,2022-12-12 16:23:58,2022-12-12 16:24:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
200,2022-12-12 16:24:13,2022-12-12 16:24:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
201,2022-12-12 16:24:28,2022-12-12 16:24:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
202,2022-12-12 16:24:43,2022-12-12 16:24:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
203,2022-12-12 16:24:58,2022-12-12 16:25:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
204,2022-12-12 16:25:13,2022-12-12 16:25:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
205,2022-12-12 16:25:28,2022-12-12 16:25:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
206,2022-12-12 16:25:43,2022-12-12 16:25:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
207,2022-12-12 16:25:58,2022-12-12 16:26:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
208,2022-12-12 16:26:13,2022-12-12 16:26:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
209,2022-12-12 16:26:28,2022-12-12 16:26:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
210,2022-12-12 16:26:43,2022-12-12 16:26:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
211,2022-12-12 16:26:58,2022-12-12 16:27:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
212,2022-12-12 16:27:13,2022-12-12 16:27:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
213,2022-12-12 16:27:28,2022-12-12 16:27:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
214,2022-12-12 16:27:43,2022-12-12 16:27:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
215,2022-12-12 16:27:58,2022-12-12 16:28:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
216,2022-12-12 16:28:13,2022-12-12 16:28:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
217,2022-12-12 16:28:28,2022-12-12 16:28:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
218,2022-12-12 16:28:43,2022-12-12 16:28:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
219,2022-12-12 16:28:58,2022-12-12 16:29:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
220,2022-12-12 16:29:13,2022-12-12 16:29:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
221,2022-12-12 16:29:28,2022-12-12 16:29:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
222,2022-12-12 16:29:43,2022-12-12 16:29:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
223,2022-12-12 16:29:58,2022-12-12 16:30:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
224,2022-12-12 16:30:13,2022-12-12 16:30:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
225,2022-12-12 16:30:28,2022-12-12 16:30:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
226,2022-12-12 16:30:43,2022-12-12 16:30:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
227,2022-12-12 16:30:58,2022-12-12 16:31:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
228,2022-12-12 16:31:13,2022-12-12 16:31:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
229,2022-12-12 16:31:28,2022-12-12 16:31:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
230,2022-12-12 16:31:43,2022-12-12 16:31:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
231,2022-12-12 16:31:58,2022-12-12 16:32:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
232,2022-12-12 16:32:13,2022-12-12 16:32:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
233,2022-12-12 16:32:28,2022-12-12 16:32:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
234,2022-12-12 16:32:43,2022-12-12 16:32:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
235,2022-12-12 16:32:58,2022-12-12 16:33:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
236,2022-12-12 16:33:13,2022-12-12 16:33:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
237,2022-12-12 16:33:28,2022-12-12 16:33:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
238,2022-12-12 16:33:43,2022-12-12 16:33:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
239,2022-12-12 16:33:58,2022-12-12 16:34:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
240,2022-12-12 16:34:13,2022-12-12 16:34:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,22,22,22,22
241,2022-12-12 16:34:28,2022-12-12 16:34:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
242,2022-12-12 16:34:43,2022-12-12 16:34:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
243,2022-12-12 16:34:58,2022-12-12 16:35:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
244,2022-12-12 16:35:13,2022-12-12 16:35:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
245,2022-12-12 16:35:28,2022-12-12 16:35:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
246,2022-12-12 16:35:43,2022-12-12 16:35:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
247,2022-12-12 16:35:58,2022-12-12 16:36:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
248,2022-12-12 16:36:13,2022-12-12 16:36:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
249,2022-12-12 16:36:28,2022-12-12 16:36:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
250,2022-12-12 16:36:43,2022-12-12 16:36:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
251,2022-12-12 16:36:58,2022-12-12 16:37:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,22,22,22,22
252,2022-12-12 16:37:13,2022-12-12 16:37:28,valid,tie_prefer_v5,ECG_CH1,V5,Barely acceptable,1,ECG_CH1,Barely acceptable,1,ECG_CH3,Barely acceptable,1,23,23,23,23
253,2022-12-12 16:37:28,2022-12-12 16:37:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,22,22,22,22
254,2022-12-12 16:37:43,2022-12-12 16:37:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,22,22,22,22
255,2022-12-12 16:37:58,2022-12-12 16:38:13,valid,tie_prefer_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Excellent,2,22,22,22,22
256,2022-12-12 16:38:13,2022-12-12 16:38:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
257,2022-12-12 16:38:28,2022-12-12 16:38:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
258,2022-12-12 16:38:43,2022-12-12 16:38:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
259,2022-12-12 16:38:58,2022-12-12 16:39:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
260,2022-12-12 16:39:13,2022-12-12 16:39:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,18,18,18,18
261,2022-12-12 16:39:28,2022-12-12 16:39:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,18,18,18,18
262,2022-12-12 16:39:43,2022-12-12 16:39:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,18,18,18,18
263,2022-12-12 16:39:58,2022-12-12 16:40:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
264,2022-12-12 16:40:13,2022-12-12 16:40:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
265,2022-12-12 16:40:28,2022-12-12 16:40:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
266,2022-12-12 16:40:43,2022-12-12 16:40:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
267,2022-12-12 16:40:58,2022-12-12 16:41:13,valid,tie_prefer_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Excellent,2,22,22,22,22
268,2022-12-12 16:41:13,2022-12-12 16:41:28,valid,tie_prefer_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Excellent,2,23,23,23,23
269,2022-12-12 16:41:28,2022-12-12 16:41:43,valid,tie_prefer_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Excellent,2,22,22,22,22
270,2022-12-12 16:41:43,2022-12-12 16:41:58,valid,tie_prefer_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Excellent,2,22,22,22,22
271,2022-12-12 16:41:58,2022-12-12 16:42:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,22,22,22,22
272,2022-12-12 16:42:13,2022-12-12 16:42:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,22,22,22,22
273,2022-12-12 16:42:28,2022-12-12 16:42:43,valid,tie_prefer_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Excellent,2,22,22,22,22
274,2022-12-12 16:42:43,2022-12-12 16:42:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,18,18,18,18
275,2022-12-12 16:42:58,2022-12-12 16:43:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,18,18,18,18
276,2022-12-12 16:43:13,2022-12-12 16:43:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
277,2022-12-12 16:43:28,2022-12-12 16:43:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
278,2022-12-12 16:43:43,2022-12-12 16:43:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
279,2022-12-12 16:43:58,2022-12-12 16:44:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,18,18,18,18
280,2022-12-12 16:44:13,2022-12-12 16:44:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
281,2022-12-12 16:44:28,2022-12-12 16:44:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,19,19,19,19
282,2022-12-12 16:44:43,2022-12-12 16:44:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
283,2022-12-12 16:44:58,2022-12-12 16:45:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
284,2022-12-12 16:45:13,2022-12-12 16:45:28,valid,tie_prefer_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Excellent,2,21,21,21,21
