lead,window_index,window_start,window_end,duration_seconds,samples,sampling_rate_hz,quality_mean,quality_median,quality_min,quality_max,zhao2018,error
ECG_CH2,14,2022-12-12 15:37:43,2022-12-12 15:37:58,15,3000,200,0.672684,0.672400,0.000000,1.000000,Unacceptable,
ECG_CH3,14,2022-12-12 15:37:43,2022-12-12 15:37:58,15,3000,200,0.563235,0.568865,0.000000,1.000000,Barely acceptable,
ECG_CH1,15,2022-12-12 15:37:58,2022-12-12 15:38:13,15,3000,200,0.621753,0.735793,0.000000,1.000000,Excellent,
ECG_CH2,15,2022-12-12 15:37:58,2022-12-12 15:38:13,15,3000,200,0.750497,0.795962,0.000000,1.000000,Barely acceptable,
ECG_CH3,15,2022-12-12 15:37:58,2022-12-12 15:38:13,15,3000,200,0.763569,0.838328,0.000000,1.000000,Barely acceptable,
ECG_CH1,16,2022-12-12 15:38:13,2022-12-12 15:38:28,15,3000,200,0.496360,0.418615,0.000000,1.000000,Barely acceptable,
ECG_CH2,16,2022-12-12 15:38:13,2022-12-12 15:38:28,15,3000,200,0.656496,0.702979,0.000000,1.000000,Excellent,
ECG_CH3,16,2022-12-12 15:38:13,2022-12-12 15:38:28,15,3000,200,0.432208,0.400894,0.000000,1.000000,Excellent,
ECG_CH1,17,2022-12-12 15:38:28,2022-12-12 15:38:43,15,3000,200,0.467771,0.432138,0.000000,1.000000,Barely acceptable,
ECG_CH2,17,2022-12-12 15:38:28,2022-12-12 15:38:43,15,3000,200,0.628777,0.691086,0.000000,1.000000,Barely acceptable,
ECG_CH3,17,2022-12-12 15:38:28,2022-12-12 15:38:43,15,3000,200,0.642679,0.699077,0.000000,1.000000,Excellent,
ECG_CH1,18,2022-12-12 15:38:43,2022-12-12 15:38:58,15,3000,200,0.544905,0.595474,0.000000,1.000000,Excellent,
ECG_CH2,18,2022-12-12 15:38:43,2022-12-12 15:38:58,15,3000,200,0.677272,0.756710,0.000000,1.000000,Excellent,
ECG_CH3,18,2022-12-12 15:38:43,2022-12-12 15:38:58,15,3000,200,0.695471,0.831957,0.000000,1.000000,Excellent,
ECG_CH1,19,2022-12-12 15:38:58,2022-12-12 15:39:13,15,3000,200,0.776528,0.841389,0.000000,1.000000,Excellent,
ECG_CH2,19,2022-12-12 15:38:58,2022-12-12 15:39:13,15,3000,200,0.796369,0.915856,0.000000,1.000000,Barely acceptable,
ECG_CH3,19,2022-12-12 15:38:58,2022-12-12 15:39:13,15,3000,200,0.775986,0.856013,0.000000,1.000000,Barely acceptable,
ECG_CH1,20,2022-12-12 15:39:13,2022-12-12 15:39:28,15,3000,200,0.712065,0.798135,0.000000,1.000000,Barely acceptable,
ECG_CH2,20,2022-12-12 15:39:13,2022-12-12 15:39:28,15,3000,200,0.645460,0.729591,0.000000,1.000000,Barely acceptable,
ECG_CH3,20,2022-12-12 15:39:13,2022-12-12 15:39:28,15,3000,200,0.670051,0.675247,0.000000,1.000000,Excellent,
ECG_CH1,21,2022-12-12 15:39:28,2022-12-12 15:39:43,15,3000,200,0.714028,0.808460,0.000000,1.000000,Excellent,
ECG_CH2,21,2022-12-12 15:39:28,2022-12-12 15:39:43,15,3000,200,0.662916,0.802137,0.000000,1.000000,Excellent,
ECG_CH3,21,2022-12-12 15:39:28,2022-12-12 15:39:43,15,3000,200,0.648447,0.792065,0.000000,1.000000,Barely acceptable,
ECG_CH1,22,2022-12-12 15:39:43,2022-12-12 15:39:58,15,3000,200,0.693086,0.804625,0.000000,1.000000,Excellent,
ECG_CH2,22,2022-12-12 15:39:43,2022-12-12 15:39:58,15,3000,200,0.773376,0.862929,0.000000,1.000000,Barely acceptable,
ECG_CH3,22,2022-12-12 15:39:43,2022-12-12 15:39:58,15,3000,200,0.707642,0.883548,0.000000,1.000000,Excellent,
ECG_CH1,23,2022-12-12 15:39:58,2022-12-12 15:40:13,15,3000,200,0.789079,0.850908,0.000000,1.000000,Excellent,
ECG_CH2,23,2022-12-12 15:39:58,2022-12-12 15:40:13,15,3000,200,0.805299,0.903621,0.000000,1.000000,Barely acceptable,
ECG_CH3,23,2022-12-12 15:39:58,2022-12-12 15:40:13,15,3000,200,0.629801,0.661822,0.000000,1.000000,Barely acceptable,
ECG_CH1,24,2022-12-12 15:40:13,2022-12-12 15:40:28,15,3000,200,0.625006,0.711355,0.000000,1.000000,Excellent,
ECG_CH2,24,2022-12-12 15:40:13,2022-12-12 15:40:28,15,3000,200,0.771669,0.893939,0.000000,1.000000,Excellent,
ECG_CH3,24,2022-12-12 15:40:13,2022-12-12 15:40:28,15,3000,200,0.509383,0.391261,0.000000,1.000000,Barely acceptable,
ECG_CH1,25,2022-12-12 15:40:28,2022-12-12 15:40:43,15,3000,200,0.493800,0.448361,0.000000,1.000000,Excellent,
ECG_CH2,25,2022-12-12 15:40:28,2022-12-12 15:40:43,15,3000,200,0.409542,0.372490,0.000000,1.000000,Barely acceptable,
ECG_CH3,25,2022-12-12 15:40:28,2022-12-12 15:40:43,15,3000,200,0.589704,0.627074,0.000000,1.000000,Barely acceptable,
ECG_CH1,26,2022-12-12 15:40:43,2022-12-12 15:40:58,15,3000,200,0.698691,0.846653,0.000000,1.000000,Excellent,
ECG_CH2,26,2022-12-12 15:40:43,2022-12-12 15:40:58,15,3000,200,0.762764,0.877202,0.000000,1.000000,Barely acceptable,
ECG_CH3,26,2022-12-12 15:40:43,2022-12-12 15:40:58,15,3000,200,0.705965,0.813707,0.000000,1.000000,Barely acceptable,
ECG_CH1,27,2022-12-12 15:40:58,2022-12-12 15:41:13,15,3000,200,0.694832,0.726665,0.000000,1.000000,Excellent,
ECG_CH2,27,2022-12-12 15:40:58,2022-12-12 15:41:13,15,3000,200,0.619287,0.622629,0.000000,1.000000,Excellent,
ECG_CH3,27,2022-12-12 15:40:58,2022-12-12 15:41:13,15,3000,200,0.648714,0.708493,0.000000,1.000000,Barely acceptable,
ECG_CH1,28,2022-12-12 15:41:13,2022-12-12 15:41:28,15,3000,200,0.726764,0.815989,0.000000,1.000000,Excellent,
ECG_CH2,28,2022-12-12 15:41:13,2022-12-12 15:41:28,15,3000,200,0.651677,0.677615,0.000000,1.000000,Excellent,
ECG_CH3,28,2022-12-12 15:41:13,2022-12-12 15:41:28,15,3000,200,0.707757,0.771478,0.000000,1.000000,Barely acceptable,
ECG_CH1,29,2022-12-12 15:41:28,2022-12-12 15:41:43,15,3000,200,0.618680,0.606914,0.000000,1.000000,Excellent,
ECG_CH2,29,2022-12-12 15:41:28,2022-12-12 15:41:43,15,3000,200,0.696712,0.818821,0.000000,1.000000,Barely acceptable,
ECG_CH3,29,2022-12-12 15:41:28,2022-12-12 15:41:43,15,3000,200,0.569849,0.636249,0.000000,1.000000,Barely acceptable,
ECG_CH1,30,2022-12-12 15:41:43,2022-12-12 15:41:58,15,3000,200,0.651041,0.644649,0.000000,1.000000,Excellent,
ECG_CH2,30,2022-12-12 15:41:43,2022-12-12 15:41:58,15,3000,200,0.763797,0.849729,0.000000,1.000000,Excellent,
ECG_CH3,30,2022-12-12 15:41:43,2022-12-12 15:41:58,15,3000,200,0.619422,0.712072,0.000000,1.000000,Barely acceptable,
ECG_CH1,31,2022-12-12 15:41:58,2022-12-12 15:42:13,15,3000,200,0.778081,0.938718,0.000000,1.000000,Excellent,
ECG_CH2,31,2022-12-12 15:41:58,2022-12-12 15:42:13,15,3000,200,0.778916,0.936886,0.000000,1.000000,Excellent,
ECG_CH3,31,2022-12-12 15:41:58,2022-12-12 15:42:13,15,3000,200,0.815629,0.925758,0.000000,1.000000,Barely acceptable,
ECG_CH1,32,2022-12-12 15:42:13,2022-12-12 15:42:28,15,3000,200,0.555053,0.607267,0.000000,1.000000,Excellent,
ECG_CH2,32,2022-12-12 15:42:13,2022-12-12 15:42:28,15,3000,200,0.633204,0.691748,0.000000,1.000000,Excellent,
ECG_CH3,32,2022-12-12 15:42:13,2022-12-12 15:42:28,15,3000,200,0.602411,0.664033,0.000000,1.000000,Barely acceptable,
ECG_CH1,33,2022-12-12 15:42:28,2022-12-12 15:42:43,15,3000,200,0.594745,0.667154,0.000000,1.000000,Excellent,
ECG_CH2,33,2022-12-12 15:42:28,2022-12-12 15:42:43,15,3000,200,0.636140,0.750077,0.000000,1.000000,Excellent,
ECG_CH3,33,2022-12-12 15:42:28,2022-12-12 15:42:43,15,3000,200,0.695952,0.841312,0.000000,1.000000,Barely acceptable,
ECG_CH1,34,2022-12-12 15:42:43,2022-12-12 15:42:58,15,3000,200,0.641695,0.654840,0.000000,1.000000,Excellent,
ECG_CH2,34,2022-12-12 15:42:43,2022-12-12 15:42:58,15,3000,200,0.694009,0.739963,0.000000,1.000000,Excellent,
ECG_CH3,34,2022-12-12 15:42:43,2022-12-12 15:42:58,15,3000,200,0.648369,0.752988,0.000000,1.000000,Barely acceptable,
ECG_CH1,35,2022-12-12 15:42:58,2022-12-12 15:43:13,15,3000,200,0.727591,0.857393,0.000000,1.000000,Excellent,
ECG_CH2,35,2022-12-12 15:42:58,2022-12-12 15:43:13,15,3000,200,0.664460,0.691461,0.000000,1.000000,Excellent,
ECG_CH3,35,2022-12-12 15:42:58,2022-12-12 15:43:13,15,3000,200,0.719254,0.832614,0.000000,1.000000,Barely acceptable,
ECG_CH1,36,2022-12-12 15:43:13,2022-12-12 15:43:28,15,3000,200,0.524716,0.509265,0.000000,1.000000,Excellent,
ECG_CH2,36,2022-12-12 15:43:13,2022-12-12 15:43:28,15,3000,200,0.681653,0.736900,0.000000,1.000000,Excellent,
ECG_CH3,36,2022-12-12 15:43:13,2022-12-12 15:43:28,15,3000,200,0.695484,0.752031,0.000000,1.000000,Barely acceptable,
ECG_CH1,37,2022-12-12 15:43:28,2022-12-12 15:43:43,15,3000,200,0.506745,0.445437,0.000000,1.000000,Excellent,
ECG_CH2,37,2022-12-12 15:43:28,2022-12-12 15:43:43,15,3000,200,0.714671,0.817150,0.000000,1.000000,Excellent,
ECG_CH3,37,2022-12-12 15:43:28,2022-12-12 15:43:43,15,3000,200,0.618297,0.622220,0.000000,1.000000,Barely acceptable,
ECG_CH1,38,2022-12-12 15:43:43,2022-12-12 15:43:58,15,3000,200,0.676234,0.820914,0.000000,1.000000,Excellent,
ECG_CH2,38,2022-12-12 15:43:43,2022-12-12 15:43:58,15,3000,200,0.806773,0.897394,0.000000,1.000000,Excellent,
ECG_CH3,38,2022-12-12 15:43:43,2022-12-12 15:43:58,15,3000,200,0.714225,0.785482,0.000000,1.000000,Barely acceptable,
ECG_CH1,39,2022-12-12 15:43:58,2022-12-12 15:44:13,15,3000,200,0.582886,0.708019,0.000000,1.000000,Excellent,
ECG_CH2,39,2022-12-12 15:43:58,2022-12-12 15:44:13,15,3000,200,0.676587,0.831466,0.000000,1.000000,Barely acceptable,
ECG_CH3,39,2022-12-12 15:43:58,2022-12-12 15:44:13,15,3000,200,0.732270,0.796578,0.000000,1.000000,Barely acceptable,
ECG_CH1,40,2022-12-12 15:44:13,2022-12-12 15:44:28,15,3000,200,0.624564,0.710363,0.000000,1.000000,Excellent,
ECG_CH2,40,2022-12-12 15:44:13,2022-12-12 15:44:28,15,3000,200,0.666115,0.832021,0.000000,1.000000,Excellent,
ECG_CH3,40,2022-12-12 15:44:13,2022-12-12 15:44:28,15,3000,200,0.625001,0.763915,0.000000,1.000000,Barely acceptable,
ECG_CH1,41,2022-12-12 15:44:28,2022-12-12 15:44:43,15,3000,200,0.660852,0.792588,0.000000,1.000000,Excellent,
ECG_CH2,41,2022-12-12 15:44:28,2022-12-12 15:44:43,15,3000,200,0.772326,0.912518,0.000000,1.000000,Barely acceptable,
ECG_CH3,41,2022-12-12 15:44:28,2022-12-12 15:44:43,15,3000,200,0.678458,0.711378,0.000000,1.000000,Barely acceptable,
ECG_CH1,42,2022-12-12 15:44:43,2022-12-12 15:44:58,15,3000,200,0.721679,0.781527,0.000000,1.000000,Barely acceptable,
ECG_CH2,42,2022-12-12 15:44:43,2022-12-12 15:44:58,15,3000,200,0.644533,0.658655,0.000000,1.000000,Barely acceptable,
ECG_CH3,42,2022-12-12 15:44:43,2022-12-12 15:44:58,15,3000,200,0.737296,0.845918,0.000000,1.000000,Barely acceptable,
ECG_CH1,43,2022-12-12 15:44:58,2022-12-12 15:45:13,15,3000,200,0.615826,0.672402,0.000000,1.000000,Excellent,
ECG_CH2,43,2022-12-12 15:44:58,2022-12-12 15:45:13,15,3000,200,0.687722,0.807626,0.000000,1.000000,Barely acceptable,
ECG_CH3,43,2022-12-12 15:44:58,2022-12-12 15:45:13,15,3000,200,0.592704,0.616620,0.000000,1.000000,Barely acceptable,
ECG_CH1,44,2022-12-12 15:45:13,2022-12-12 15:45:28,15,3000,200,0.510394,0.533856,0.000000,1.000000,Barely acceptable,
ECG_CH2,44,2022-12-12 15:45:13,2022-12-12 15:45:28,15,3000,200,0.746706,0.811090,0.000000,1.000000,Barely acceptable,
ECG_CH3,44,2022-12-12 15:45:13,2022-12-12 15:45:28,15,3000,200,0.558701,0.525459,0.000000,1.000000,Barely acceptable,
ECG_CH1,45,2022-12-12 15:45:28,2022-12-12 15:45:43,15,3000,200,0.744533,0.849480,0.000000,1.000000,Barely acceptable,
ECG_CH2,45,2022-12-12 15:45:28,2022-12-12 15:45:43,15,3000,200,0.743404,0.864186,0.000000,1.000000,Barely acceptable,
ECG_CH3,45,2022-12-12 15:45:28,2022-12-12 15:45:43,15,3000,200,0.551643,0.656027,0.000000,1.000000,Excellent,
ECG_CH1,46,2022-12-12 15:45:43,2022-12-12 15:45:58,15,3000,200,0.818470,0.897892,0.000000,1.000000,Barely acceptable,
